,subtitle,postal_code
0,"San Cristóbal, Madrid",28021
1,"Los Ángeles, Madrid",0
2,"San Andrés, Madrid",0
3,"Los Rosales, Madrid",0
4,"Villaverde, Madrid",0
5,"Butarque, Madrid",28021
6,"Vicálvaro, Madrid",0
7,"Ambroz, Madrid",28032
8,"Casco Histórico de Vicálvaro, Madrid",0
9,"El Cañaveral - Los Berrocales, Madrid",28052
10,"Valdebernardo - Valderribas, Madrid",28032
11,"Casco Histórico de Vallecas, Madrid",0
12,"Ensanche de Vallecas - La Gavia, Madrid",28051
13,"Villa de Vallecas, Madrid",0
14,"Santa Eugenia, Madrid",28031
15,"Orcasitas, Madrid",28041
16,"Usera, Madrid",0
17,"San Fermín, Madrid",0
18,"Pradolongo, Madrid",0
19,"Zofío, Madrid",28026
20,"Almendrales, Madrid",0
21,"Moscardó, Madrid",28026
22,"12 de Octubre-Orcasur, Madrid",28041
23,"Valdeacederas, Madrid",0
24,"Tetuán, Madrid",0
25,"Berruguete, Madrid",0
26,"Cuatro Caminos, Madrid",0
27,"Cuzco-Castillejos, Madrid",28046
28,"Bellas Vistas, Madrid",0
29,"Ventilla-Almenara, Madrid",28029
30,"Retiro, Madrid",0
31,"Adelfas, Madrid",0
32,"Ibiza, Madrid",0
33,"Pacífico, Madrid",0
34,"Niño Jesús, Madrid",0
35,"Jerónimos, Madrid",0
36,"Estrella, Madrid",28007
37,"Puente de Vallecas, Madrid",0
38,"Palomeras Bajas, Madrid",0
39,"San Diego, Madrid",0
40,"Palomeras sureste, Madrid",0
41,"Entrevías, Madrid",28053
42,"Numancia, Madrid",28038
43,"Portazgo, Madrid",0
44,"Aravaca, Madrid",28023
45,"Argüelles, Madrid",28008
46,"Moncloa, Madrid",0
47,"Ciudad Universitaria, Madrid",0
48,"Valdezarza, Madrid",0
49,"El Plantío, Madrid",28023
50,"Fontarrón, Madrid",28030
51,"Moratalaz, Madrid",28030
52,"Vinateros, Madrid",28030
53,"Marroquina, Madrid",28030
54,"Media Legua, Madrid",28030
55,"Horcajo, Madrid",0
56,"Pavones, Madrid",28030
57,"Puerta del Ángel, Madrid",28011
58,"Latina, Madrid",0
59,"Los Cármenes, Madrid",0
60,"Aluche, Madrid",0
61,"Águilas, Madrid",0
62,"Lucero, Madrid",0
63,"Campamento, Madrid",28024
64,"Cuatro Vientos, Madrid",0
65,"Valdemarín, Madrid",28023
66,"Casa de Campo, Madrid",0
67,"Fuencarral, Madrid",28034
68,"Las Tablas, Madrid",28050
69,"La Paz, Madrid",0
70,"Montecarmelo, Madrid",28949
71,"Peñagrande, Madrid",0
72,"Tres Olivos - Valverde, Madrid",28034
73,"Pilar, Madrid",0
74,"Mirasierra, Madrid",0
75,"El Pardo, Madrid",28048
76,"Arroyo del Fresno, Madrid",28049
77,"Fuentelarreina, Madrid",0
78,"Sanchinarro, Madrid",28050
79,"Conde Orgaz-Piovera, Madrid",28043
80,"Hortaleza, Madrid",0
81,"Palomas, Madrid",28042
82,"Virgen del Cortijo - Manoteras, Madrid",28050
83,"Valdebebas - Valdefuentes, Madrid",28055
84,"Pinar del Rey, Madrid",0
85,"Canillas, Madrid",0
86,"Apóstol Santiago, Madrid",28033
87,"Chamberí, Madrid",0
88,"Almagro, Madrid",0
89,"Trafalgar, Madrid",0
90,"Nuevos Ministerios-Ríos Rosas, Madrid",28003
91,"Vallehermoso, Madrid",0
92,"Gaztambide, Madrid",0
93,"Arapiles, Madrid",0
94,"Ventas, Madrid",0
95,"Pueblo Nuevo, Madrid",0
96,"Atalaya, Madrid",28033
97,"Quintana, Madrid",28027
98,"San Juan Bautista, Madrid",28043
99,"Ciudad Lineal, Madrid",0
100,"Costillares, Madrid",28033
101,"Concepción, Madrid",28027
102,"Colina, Madrid",0
103,"San Pascual, Madrid",28027
104,"Chamartín, Madrid",0
105,"El Viso, Madrid",0
106,"Nueva España, Madrid",0
107,"Bernabéu-Hispanoamérica, Madrid",28036
108,"Prosperidad, Madrid",0
109,"Castilla, Madrid",0
110,"Ciudad Jardín, Madrid",0
111,"Lavapiés-Embajadores, Madrid",28012
112,"Opañel, Madrid",28019
113,"Comillas, Madrid",0
114,"Abrantes, Madrid",0
115,"San Isidro, Madrid",0
116,"Carabanchel, Madrid",0
117,"Puerta Bonita, Madrid",0
118,"Vista Alegre, Madrid",0
119,"Pau de Carabanchel, Madrid",28054
120,"Buena Vista, Madrid",0
121,"Huertas-Cortes, Madrid",0
122,"Malasaña-Universidad, Madrid",0
123,"Chueca-Justicia, Madrid",28004
124,"Palacio, Madrid",0
125,"Centro, Madrid",0
126,"Sol, Madrid",0
127,"Barrio de Salamanca, Madrid",0
128,"Goya, Madrid",0
129,"Guindalera, Madrid",28028
130,"Lista, Madrid",0
131,"Castellana, Madrid",0
132,"Fuente del Berro, Madrid",0
133,"Recoletos, Madrid",0
134,"Imperial, Madrid",28005
135,"Chopera, Madrid",28045
136,"Acacias, Madrid",0
137,"Delicias, Madrid",28045
138,"Palos de Moguer, Madrid",0
139,"Legazpi, Madrid",28045
140,"Arganzuela, Madrid",0
141,"Casco Histórico de Barajas, Madrid",28042
142,"Alameda de Osuna, Madrid",28042
143,"Barajas, Madrid",28042
144,"Campo de las Naciones-Corralejos, Madrid",28042
145,"Timón, Madrid",0
